#TimesAppear,108742,RANK,Freq,A,B,C
--------------------,-----------------------------------------------------------------------------------------------------------------------------------------,----------,,2,0,1000
5230, make,96,,,,
5221, two,97,,,,
5217, much,98,,,,
5192, many,99,,,,
5113, those,100,,,,
5064, first,101,,,,
5012, us,102,,,,
5002, right,103,,,,
4990, say,104,,,,
4945, most,105,,,,
4932, such,106,,,,
4748, god,107,,,,
4727, did,108,,,,
4724, our,109,,,,
4472, where,110,,,,
4471, system,111,,,,
4459, want,112,,,,
4429, said,113,,,,
4356, here,114,,,,
4347, being,115,,,,
4332, its,116,,,,
4313, anyone,117,,,,
4284, used,118,,,,
4265, same,119,,,,
4245, over,120,,,,
4225, after,121,,,,
3957, go,122,,,,
3923, work,123,,,,
3919, really,124,,,,
3868, something,125,,,,
3850, need,126,,,,
3816, too,127,,,,
3775, believe,128,,,,
3735, since,129,,,,
3636, him,130,,,,
3631, still,131,,,,
3615, problem,132,,,,
3601, please,133,,,,
3515, back,134,,,,
3468, off,135,,,,
3442, i've,136,,,,
3401, before,137,,,,
3359, going,138,,,,
3324, point,139,,,,
3302, take,140,,,,
3290, find,141,,,,
3266, might,142,,,,
3254, government,143,,,,
3230, better,144,,,,
3216, never,145,,,,
3203, mail,146,,,,
3191, information,147,,,,
3187, using,148,,,,
3164, things,149,,,,
3141, last,150,,,,
3136, both,151,,,,
3100, years,152,,,,
3077, own,153,,,,
3077, while,153,,,,
3074, file,154,,,,
3063, year,155,,,,
3004, can't,156,,,,
3004, must,156,,,,
3000, windows,157,,,,
2996, sure,158,,,,
2990, thanks,159,,,,
2959, without,160,,,,
2956, made,161,,,,
2949, read,162,,,,
2917, c,163,,,,
2910, etc,164,,,,
2908, question,165,,,,
2867, another,166,,,,
2864, e,167,,,,
2858, doesn't,168,,,,
2837, through,169,,,,
2820, number,170,,,,
2791, s,171,,,,
2785, someone,172,,,,
2763, fact,173,,,,
2762, help,174,,,,
2761, got,175,,,,
2756, between,176,,,,
2756, thing,176,,,,
2741, university,177,,,,
2693, down,178,,,,
2690, look,179,,,,
2658, that's,180,,,,
2657, world,181,,,,
2631, come,182,,,,
2616, under,183,,,,
2606, available,184,,,,
2605, part,185,,,,
2599, bit,186,,,,
2589, long,187,,,,
2582, few,188,,,,
2571, program,189,,,,
2565, data,190,,,,
2557, anything,191,,,,
2552, day,192,,,,
2546, drive,193,,,,
2517, case,194,,,,
2501, against,195,,,,
2495, each,196,,,,
2495, however,196,,,,
2493, law,197,,,,
2481, didn't,198,,,,
2480, power,199,,,,
2476, little,200,,,,
2465, around,201,,,,
2424, again,202,,,,
2415, every,203,,,,
2406, give,204,,,,
2405, different,205,,,,
2401, seems,206,,,,
2390, true,207,,,,
2374, state,208,,,,
2336, least,209,,,,
2329, probably,210,,,,
2320, space,211,,,,
2309, actually,212,,,,
2290, best,213,,,,
2285, course,214,,,,
2265, enough,215,,,,
2262, software,216,,,,
2251, put,217,,,,
2251, set,217,,,,
2233, try,218,,,,
2217, tell,219,,,,
2195, great,220,,,,
2192, lot,221,,,,
2182, game,222,,,,
2173, life,223,,,,
2168, real,224,,,,
2156, key,225,,,,
2133, though,226,,,,
2131, her,227,,,,
2129, either,228,,,,
2127, she,229,,,,
2122, david,230,,,,
2121, run,231,,,,
2114, support,232,,,,
2095, called,233,,,,
2094, far,234,,,,
2094, nothing,234,,,,
2091, high,235,,,,
2091, says,235,,,,
2090, car,236,,,,
2088, name,237,,,,
2080, jesus,238,,,,
2079, computer,239,,,,
2069, mean,240,,,,
2058, o,241,,,,
2054, line,242,,,,
2030, group,243,,,,
2029, rather,244,,,,
2028, second,245,,,,
2020, i'd,246,,,,
2020, possible,246,,,,
2016, you're,247,,,,
2008, free,248,,,,
1973, wrong,249,,,,
1966, reason,250,,,,
1956, list,251,,,,
1951, old,252,,,,
1949, john,253,,,,
1948, call,254,,,,
1948, non,254,,,,
1946, post,255,,,,
1936, others,256,,,,
1935, yes,257,,,,
1926, end,258,,,,
1923, else,259,,,,
1919, hard,260,,,,
1917, man,261,,,,
1910, let,262,,,,
1890, above,263,,,,
1883, keep,264,,,,
1860, based,265,,,,
1852, found,266,,,,
1845, maybe,267,,,,
1845, public,267,,,,
1836, done,268,,,,
1825, example,269,,,,
1816, order,270,,,,
1804, ever,271,,,,
1802, seen,272,,,,
1798, having,273,,,,
1798, place,273,,,,
1795, card,274,,,,
1794, able,275,,,,
1791, isn't,276,,,,
1787, three,277,,,,
1781, version,278,,,,
1772, person,279,,,,
1772, quite,279,,,,
1764, next,280,,,,
1762, bad,281,,,,
1759, evidence,282,,,,
1757, yet,283,,,,
1747, heard,284,,,,
1747, wrote,284,,,,
1746, following,285,,,,
1742, always,286,,,,
1735, image,287,,,,
1732, email,288,,,,
1729, send,289,,,,
1708, problems,290,,,,
1706, general,291,,,,
1701, thought,292,,,,
1697, files,293,,,,
1693, doing,294,,,,
1690, looking,295,,,,
1685, d,296,,,,
1684, means,297,,,,
1674, trying,298,,,,
1672, whether,299,,,,
1667, less,300,,,,
1653, bill,301,,,,
1641, science,302,,,,
1641, team,302,,,,
1628, given,303,,,,
1626, book,304,,,,
1624, internet,305,,,,
1623, away,306,,,,
1623, left,306,,,,
1621, start,307,,,,
1614, idea,308,,,,
1613, human,309,,,,
1611, several,310,,,,
1610, gun,311,,,,
1605, once,312,,,,
1587, b,313,,,,
1587, subject,313,,,,
1583, children,314,,,,
1575, phone,315,,,,
1571, control,316,,,,
1569, seem,317,,,,
1562, word,318,,,,
1556, big,319,,,,
1556, during,319,,,,
1553, times,320,,,,
1552, kind,321,,,,
1549, q,322,,,,
1543, getting,323,,,,
1540, systems,324,,,,
1534, note,325,,,,
1530, i'll,326,,,,
1520, home,327,,,,
1518, dos,328,,,,
1514, makes,329,,,,
1508, remember,330,,,,
1505, israel,331,,,,
1494, window,332,,,,
1493, saying,333,,,,
1489, change,334,,,,
1485, perhaps,335,,,,
1480, jews,336,,,,
1479, standard,337,,,,
1464, full,338,,,,
1451, rights,339,,,,
1441, opinions,340,,,,
1440, until,341,,,,
1436, n,342,,,,
1434, cannot,343,,,,
1433, today,344,,,,
1428, already,345,,,,
1427, fbi,346,,,,
1422, research,347,,,,
1415, christian,348,,,,
1414, local,349,,,,
1414, money,349,,,,
1410, mr,350,,,,
1402, chip,351,,,,
1401, ask,352,,,,
1400, large,353,,,,
1394, american,354,,,,
1389, fire,355,,,,
1389, small,355,,,,
1388, price,356,,,,
1383, info,357,,,,
1381, source,358,,,,
1378, p,359,,,,
1377, graphics,360,,,,
1371, matter,361,,,,
1370, answer,362,,,,
1367, mark,363,,,,
1361, issue,364,,,,
1361, w,364,,,,
1360, agree,365,,,,
1357, ago,366,,,,
1355, interested,367,,,,
1350, claim,368,,,,
1349, religion,369,,,,
1343, stuff,370,,,,
1341, running,371,,,,
1338, war,372,,,,
1334, pc,373,,,,
1327, came,374,,,,
1326, there's,375,,,,
1326, whole,375,,,,
1322, told,376,,,,
1317, pretty,377,,,,
1316, bible,378,,,,
1315, president,379,,,,
1314, national,380,,,,
1308, questions,381,,,,
1305, show,382,,,,
1300, disk,383,,,,
1300, hope,383,,,,
1300, news,383,,,,
1298, message,384,,,,
1297, mac,385,,,,
1295, speed,386,,,,
1291, live,387,,,,
1286, play,388,,,,
1282, days,389,,,,
1282, states,389,,,,
1280, address,390,,,,
1279, current,391,,,,
1279, original,391,,,,
1276, scsi,392,,,,
1276, works,392,,,,
1274, code,393,,,,
1273, r,394,,,,
1272, feel,395,,,,
1266, care,396,,,,
1265, games,397,,,,
1259, everything,398,,,,
1256, buy,399,,,,
1256, often,399,,,,
1245, understand,400,,,,
1240, m,401,,,,
1239, simply,402,,,,
1237, started,403,,,,
1236, love,404,,,,
1231, fax,405,,,,
1225, history,406,,,,
1224, box,407,,,,
1222, type,408,,,,
1221, truth,409,,,,
1219, important,410,,,,
1219, open,410,,,,
1216, turkish,411,,,,
1212, armenian,412,,,,
1210, hand,413,,,,
1208, including,414,,,,
1207, certainly,415,,,,
1206, include,416,,,,
1206, machine,416,,,,
1205, went,417,,,,
1201, wouldn't,418,,,,
1199, center,419,,,,
1196, everyone,420,,,,
1193, mind,421,,,,
1187, church,422,,,,
1185, won't,423,,,,
1182, color,424,,,,
1171, guess,425,,,,
1170, almost,426,,,,
1170, making,426,,,,
1169, themselves,427,,,,
1166, side,428,,,,
1165, cause,429,,,,
1161, programs,430,,,,
1154, pay,431,,,,
1153, instead,432,,,,
1151, net,433,,,,
1147, although,434,,,,
1146, comes,435,,,,
1144, memory,436,,,,
1137, ftp,437,,,,
1135, men,438,,,,
1134, value,439,,,,
1132, later,440,,,,
1125, earth,441,,,,
1124, jewish,442,,,,
1121, country,443,,,,
1121, working,443,,,,
1119, area,444,,,,
1116, netcom.com,445,,,,
1107, anyway,446,,,,
1104, april,447,,,,
1100, paul,448,,,,
1097, access,449,,,,
1097, black,449,,,,
1095, server,450,,,,
1092, michael,451,,,,
1091, light,452,,,,
1091, single,452,,,,
1090, technology,453,,,,
1090, unless,453,,,,
1089, display,454,,,,
1088, consider,455,,,,
1087, mike,456,,,,
1084, christians,457,,,,
1084, cost,457,,,,
1079, steve,458,,,,
1078, words,459,,,,
1077, religious,460,,,,
1076, write,461,,,,
1074, t,462,,,,
1071, within,463,,,,
1065, difference,464,,,,
1064, frank,465,,,,
1061, known,466,,,,
1057, faith,467,,,,
1057, j,467,,,,
1057, u.s,467,,,,
1054, low,468,,,,
1051, death,469,,,,
1050, tried,470,,,,
1044, opinion,471,,,,
1044, theory,471,,,,
1042, sort,472,,,,
1039, sense,473,,,,
1035, clear,474,,,,
1030, check,475,,,,
1030, christ,475,,,,
1028, likely,476,,,,
1023, objective,477,,,,
1022, ms,478,,,,
1020, especially,479,,,,
1017, deal,480,,,,
1017, house,480,,,,
1017, talking,480,,,,
1015, copy,481,,,,
1013, sun,482,,,,
1008, posting,483,,,,
1007, he's,484,,,,
1006, similar,485,,,,
1005, contact,486,,,,
1001, win,487,,,,
1000, video,488,,,,
999, encryption,489,,,,
999, view,489,,,,
998, argument,490,,,,
998, major,490,,,,
996, nice,491,,,,
995, correct,492,,,,
995, couple,492,,,,
993, private,493,,,,
990, anybody,494,,,,
988, certain,495,,,,
988, exactly,495,,,,
986, armenians,496,,,,
983, v,497,,,,
977, night,498,,,,
973, jim,499,,,,
971, saw,500,,,,
971, thus,500,,,,
970, hell,501,,,,
968, force,502,,,,
967, police,503,,,,
964, took,504,,,,
963, dead,505,,,,
962, among,506,,,,
961, whatever,507,,,,
960, provide,508,,,,
960, white,508,,,,
959, myself,509,,,,
959, simple,509,,,,
959, situation,509,,,,
958, l,510,,,,
956, body,511,,,,
955, killed,512,,,,
953, stop,513,,,,
953, third,513,,,,
952, package,514,,,,
949, per,515,,,,
949, taken,515,,,,
947, common,516,,,,
947, oh,516,,,,
944, self,517,,,,
943, moral,518,,,,
938, sorry,519,,,,
937, fine,520,,,,
933, service,521,,,,
927, health,522,,,,
926, laws,523,,,,
926, reading,523,,,,
924, company,524,,,,
922, position,525,,,,
921, level,526,,,,
920, goes,527,,,,
918, press,528,,,,
918, upon,528,,,,
915, they're,529,,,,
915, usually,529,,,,
914, asked,530,,,,
913, form,531,,,,
913, happened,531,,,,
912, security,532,,,,
908, mine,533,,,,
907, become,534,,,,
907, itself,534,,,,
906, interesting,535,,,,
905, board,536,,,,
905, top,536,,,,
904, except,537,,,,
902, koresh,538,,,,
902, political,538,,,,
901, sound,539,,,,
900, statement,540,,,,
898, discussion,541,,,,
898, four,541,,,,
897, past,542,,,,
897, society,542,,,,
897, via,542,,,,
896, rest,543,,,,
895, haven't,544,,,,
893, experience,545,,,,
893, groups,545,,,,
892, size,546,,,,
890, hardware,547,,,,
890, ok,547,,,,
889, hear,548,,,,
888, according,549,,,,
887, peace,550,,,,
886, happen,551,,,,
885, personal,552,,,,
885, screen,552,,,,
883, books,553,,,,
882, business,554,,,,
882, head,554,,,,
882, lines,554,,,,
881, hi,555,,,,
879, text,556,,,,
878, user,557,,,,
876, format,558,,,,
876, therefore,558,,,,
874, particular,559,,,,
874, wanted,559,,,,
870, period,560,,,,
868, israeli,561,,,,
867, turn,562,,,,
866, women,563,,,,
865, images,564,,,,
865, monitor,564,,,,
863, early,565,,,,
862, add,566,,,,
861, advance,567,,,,
861, easy,567,,,,
861, school,567,,,,
860, fast,568,,,,
859, we're,569,,,,
856, short,570,,,,
854, members,571,,,,
854, nor,571,,,,
853, city,572,,,,
853, guns,572,,,,
852, faq,573,,,,
850, anti,574,,,,
850, talk,574,,,,
849, ones,575,,,,
847, h,576,,,,
845, effect,577,,,,
845, future,577,,,,
845, needs,577,,,,
841, accept,578,,,,
841, guy,578,,,,
841, pub,578,,,,
839, months,579,,,,
838, expect,580,,,,
838, uses,580,,,,
838, written,580,,,,
836, due,581,,,,
836, exist,581,,,,
832, players,582,,,,
831, application,583,,,,
831, numbers,583,,,,
830, bike,584,,,,
830, hit,584,,,,
830, special,584,,,,
830, wasn't,584,,,,
828, keys,585,,,,
828, kill,585,,,,
828, longer,585,,,,
822, lost,586,,,,
821, outside,587,,,,
820, test,588,,,,
819, output,589,,,,
817, front,590,,,,
817, points,590,,,,
815, network,591,,,,
814, department,592,,,,
814, recently,592,,,,
813, error,593,,,,
813, season,593,,,,
811, driver,594,,,,
810, f,595,,,,
810, model,595,,,,
808, apr,596,,,,
808, hockey,596,,,,
808, let's,596,,,,
806, inc,597,,,,
806, red,597,,,,
805, jpeg,598,,,,
804, specific,599,,,,
802, coming,600,,,,
802, posted,600,,,,
801, dod,601,,,,
799, sell,602,,,,
798, gets,603,,,,
798, job,603,,,,
798, week,603,,,,
797, face,604,,,,
797, weapons,604,,,,
796, clipper,605,,,,
796, move,605,,,,
795, bus,606,,,,
795, series,606,,,,
794, unix,607,,,,
787, taking,608,,,,
786, aren't,609,,,,
785, assume,610,,,,
784, canada,611,,,,
784, mode,611,,,,
784, re,611,,,,
780, robert,612,,,,
780, sometimes,612,,,,
778, return,613,,,,
777, apple,614,,,,
777, users,614,,,,
776, ground,615,,,,
776, united,615,,,,
775, gas,616,,,,
775, james,616,,,,
775, radio,616,,,,
775, reference,616,,,,
773, worth,617,,,,
772, process,618,,,,
772, runs,618,,,,
771, doubt,619,,,,
771, land,619,,,,
770, ca,620,,,,
770, considered,620,,,,
769, g,621,,,,
768, clinton,622,,,,
767, action,623,,,,
765, various,624,,,,
764, built,625,,,,
764, yourself,625,,,,
763, i.e,626,,,,
763, involved,626,,,,
763, speak,626,,,,
761, further,627,,,,
759, explain,628,,,,
758, what's,629,,,,
756, federal,630,,,,
756, plus,630,,,,
756, shall,630,,,,
755, drivers,631,,,,
755, present,631,,,,
755, thinking,631,,,,
755, values,631,,,,
751, million,632,,,,
750, study,633,,,,
748, result,634,,,,
747, allow,635,,,,
743, date,636,,,,
742, near,637,,,,
741, along,638,,,,
741, behind,638,,,,
740, knowledge,639,,,,
740, water,639,,,,
739, couldn't,640,,,,
739, office,640,,,,
739, york,640,,,,
738, cars,641,,,,
738, close,641,,,,
738, total,641,,,,
738, usa,641,,,,
737, medical,642,,,,
737, quality,642,,,,
735, offer,643,,,,
735, previous,643,,,,
735, response,643,,,,
735, story,643,,,,
735, together,643,,,,
734, hold,644,,,,
734, necessary,644,,,,
734, rate,644,,,,
733, dave,645,,,,
733, strong,645,,,,
732, performance,646,,,,
730, higher,647,,,,
729, vs,648,,,,
728, includes,649,,,,
727, act,650,,,,
726, cases,651,,,,
726, road,651,,,,
723, dr,652,,,,
723, military,652,,,,
722, claims,653,,,,
721, bob,654,,,,
721, build,654,,,,
720, brian,655,,,,
720, deleted,655,,,,
720, term,655,,,,
719, leave,656,,,,
719, legal,656,,,,
719, request,656,,,,
716, looks,657,,,,
716, st,657,,,,
714, asking,658,,,,
714, himself,658,,,,
714, insurance,658,,,,
714, voice,658,,,,
713, report,659,,,,
713, willing,659,,,,
712, young,660,,,,
711, building,661,,,,
711, save,661,,,,
711, soon,661,,,,
710, san,662,,,,
709, crime,663,,,,
708, knows,664,,,,
708, policy,664,,,,
707, parts,665,,,,
707, population,665,,,,
705, peter,666,,,,
699, choice,667,,,,
698, clearly,668,,,,
698, freedom,668,,,,
697, cut,669,,,,
696, follow,670,,,,
696, results,670,,,,
694, k,671,,,,
691, field,672,,,,
691, related,672,,,,
690, friend,673,,,,
690, media,673,,,,
689, exists,674,,,,
688, appreciated,675,,,,
687, wants,676,,,,
686, existence,677,,,,
686, mentioned,677,,,,
684, os,678,,,,
683, ibm,679,,,,
683, sounds,679,,,,
680, needed,680,,,,
680, none,680,,,,
679, arms,681,,,,
679, league,681,,,,
679, soviet,681,,,,
678, sent,682,,,,
677, batf,683,,,,
676, half,684,,,,
675, armenia,685,,,,
675, party,685,,,,
675, sin,685,,,,
675, sources,685,,,,
674, child,686,,,,
674, currently,686,,,,
674, manager,686,,,,
673, complete,687,,,,
672, interest,688,,,,
671, ideas,689,,,,
671, mouse,689,,,,
670, ways,690,,,,
669, takes,691,,,,
669, useful,691,,,,
666, arab,692,,,,
666, belief,692,,,,
665, included,693,,,,
664, otherwise,694,,,,
663, baseball,695,,,,
663, completely,695,,,,
663, design,695,,,,
662, applications,696,,,,
661, comments,697,,,,
661, ram,697,,,,
660, drives,698,,,,
660, international,698,,,,
658, lord,699,,,,
657, usenet,700,,,,
654, gives,701,,,,
654, nature,701,,,,
653, basis,702,,,,
652, christianity,703,,,,
652, issues,703,,,,
652, morality,703,,,,
651, bought,704,,,,
651, created,704,,,,
650, institute,705,,,,
649, air,706,,,,
648, ed,707,,,,
648, section,707,,,,
648, serious,707,,,,
647, average,708,,,,
647, player,708,,,,
645, living,709,,,,
644, ii,710,,,,
644, purpose,710,,,,
643, cover,711,,,,
641, uucp,712,,,,
640, al,713,,,,
640, la,713,,,,
640, motif,713,,,,
640, reasons,713,,,,
640, scientific,713,,,,
638, directory,714,,,,
638, main,714,,,,
637, drug,715,,,,
637, indeed,715,,,,
636, court,716,,,,
636, defense,716,,,,
635, reply,717,,,,
631, below,718,,,,
631, washington,718,,,,
630, looked,719,,,,
630, rules,719,,,,
629, anonymous,720,,,,
629, die,720,,,,
629, tv,720,,,,
629, universe,720,,,,
628, create,721,,,,
628, family,721,,,,
627, shot,722,,,,
626, project,723,,,,
623, page,724,,,,
623, tape,724,,,,
622, you'll,725,,,,
621, basic,726,,,,
621, individual,726,,,,
620, meaning,727,,,,
619, command,728,,,,
618, inside,729,,,,
615, base,730,,,,
615, cd,730,,,,
615, muslim,730,,,,
614, god's,731,,,,
614, organization,731,,,,
614, supposed,731,,,,
614, weeks,731,,,,
613, faster,732,,,,
612, obviously,733,,,,
611, appears,734,,,,
611, blue,734,,,,
611, chance,734,,,,
610, event,735,,,,
609, king,736,,,,
608, normal,737,,,,
608, suggest,737,,,,
607, site,738,,,,
607, u,738,,,,
605, finally,739,,,,
605, gave,739,,,,
605, russian,739,,,,
604, stated,740,,,,
602, engine,741,,,,
602, machines,741,,,,
601, development,742,,,,
601, thank,742,,,,
600, language,743,,,,
600, sale,743,,,,
599, rule,744,,,,
598, directly,745,,,,
598, neither,745,,,,
597, cards,746,,,,
596, newsgroup,747,,,,
596, reasonable,747,,,,
595, controller,748,,,,
595, entire,748,,,,
595, required,748,,,,
592, son,749,,,,
591, learn,750,,,,
591, object,750,,,,
591, smith,750,,,,
590, device,751,,,,
590, engineering,751,,,,
590, interface,751,,,,
589, class,752,,,,
588, figure,753,,,,
588, muslims,753,,,,
588, pro,753,,,,
587, amount,754,,,,
586, eric,755,,,,
586, mass,755,,,,
586, prove,755,,,,
585, lots,756,,,,
584, food,757,,,,
583, wait,758,,,,
582, illegal,759,,,,
581, responsible,760,,,,
581, wish,760,,,,
580, tom,761,,,,
580, turkey,761,,,,
580, wonder,761,,,,
579, modem,762,,,,
579, room,762,,,,
578, genocide,763,,,,
578, record,763,,,,
578, serial,763,,,,
578, terms,763,,,,
577, folks,764,,,,
577, paper,764,,,,
575, manual,765,,,,
574, actions,766,,,,
574, details,766,,,,
574, father,766,,,,
574, gif,766,,,,
573, thomas,767,,,,
569, break,768,,,,
569, disclaimer,768,,,,
569, lead,768,,,,
569, scott,768,,,,
569, turks,768,,,,
568, nasa,769,,,,
567, condition,770,,,,
567, miles,770,,,,
566, division,771,,,,
565, bring,772,,,,
564, goal,773,,,,
564, tax,773,,,,
562, whose,774,,,,
561, lives,775,,,,
560, community,776,,,,
560, door,776,,,,
559, difficult,777,,,,
559, easily,777,,,,
558, context,778,,,,
558, places,778,,,,
557, events,779,,,,
557, plan,779,,,,
557, reports,779,,,,
556, author,780,,,,
556, changed,780,,,,
556, extra,780,,,,
556, you've,780,,,,
555, citizens,781,,,,
555, definition,781,,,,
554, happens,782,,,,
554, hours,782,,,,
554, wondering,782,,,,
553, happy,783,,,,
552, compound,784,,,,
552, designed,784,,,,
552, port,784,,,,
551, congress,785,,,,
550, alone,786,,,,
550, attack,786,,,,
550, pat,786,,,,
550, technical,786,,,,
549, greek,787,,,,
549, unfortunately,787,,,,
548, sex,788,,,,
547, bits,789,,,,
547, suppose,789,,,,
547, uunet,789,,,,
546, attempt,790,,,,
546, product,790,,,,
545, mention,791,,,,
543, drugs,792,,,,
543, function,792,,,,
543, george,792,,,,
542, allowed,793,,,,
542, devices,793,,,,
542, physical,793,,,,
541, commercial,794,,,,
541, market,794,,,,
540, reality,795,,,,
539, algorithm,796,,,,
539, carry,796,,,,
538, release,797,,,,
534, late,798,,,,
534, privacy,798,,,,
534, ray,798,,,,
534, recent,798,,,,
533, andrew,799,,,,
533, final,799,,,,
533, stand,799,,,,
532, decided,800,,,,
530, guys,801,,,,
530, knew,801,,,,
530, library,801,,,,
529, facts,802,,,,
529, imagine,802,,,,
529, received,802,,,,
527, administration,803,,,,
526, america,804,,,,
526, brought,804,,,,
526, ide,804,,,,
526, services,804,,,,
526, street,804,,,,
525, avoid,805,,,,
525, btw,805,,,,
525, western,805,,,,
524, murder,806,,,,
524, oil,806,,,,
522, continue,807,,,,
521, digital,808,,,,
521, generally,808,,,,
520, pick,809,,,,
520, reported,809,,,,
519, companies,810,,,,
519, fan,810,,,,
518, apparently,811,,,,
517, age,812,,,,
517, des,812,,,,
516, define,813,,,,
516, method,813,,,,
515, evil,814,,,,
515, member,814,,,,
515, toronto,814,,,,
514, texas,815,,,,
513, false,816,,,,
513, limited,816,,,,
513, middle,816,,,,
512, americans,817,,,,
512, forget,817,,,,
512, hate,817,,,,
512, west,817,,,,
511, cable,818,,,,
511, enforcement,818,,,,
511, watch,818,,,,
510, letter,819,,,,
509, boston,820,,,,
509, environment,820,,,,
509, stupid,820,,,,
508, quote,821,,,,
508, richard,821,,,,
508, trouble,821,,,,
507, solution,822,,,,
506, joe,823,,,,
506, volume,823,,,,
506, worked,823,,,,
505, five,824,,,,
504, decision,825,,,,
504, require,825,,,,
504, safety,825,,,,
502, installed,826,,,,
502, month,826,,,,
502, y,826,,,,
500, across,827,,,,
500, analysis,827,,,,
500, hands,827,,,,
499, chris,828,,,,
499, lack,828,,,,
499, pass,828,,,,
498, de,829,,,,
498, died,829,,,,
498, north,829,,,,
498, official,829,,,,
498, station,829,,,,
497, apply,830,,,,
497, blood,830,,,,
497, obvious,830,,,,
497, range,830,,,,
496, areas,831,,,,
496, killing,831,,,,
495, cheap,832,,,,
495, hp,832,,,,
495, worse,832,,,,
494, search,833,,,,
493, california,834,,,,
493, germany,834,,,,
493, input,834,,,,
493, launch,834,,,,
492, held,835,,,,
491, somebody,836,,,,
491, starting,836,,,,
490, chips,837,,,,
489, civil,838,,,,
489, disease,838,,,,
489, green,838,,,,
489, proof,838,,,,
489, secret,838,,,,
489, wife,838,,,,
488, bbs,839,,,,
488, fall,839,,,,
488, modern,839,,,,
487, fans,840,,,,
487, protect,840,,,,
486, energy,841,,,,
486, suspect,841,,,,
485, appropriate,842,,,,
485, internal,842,,,,
485, jon,842,,,,
484, title,843,,,,
483, addition,844,,,,
483, choose,844,,,,
482, entry,845,,,,
481, account,846,,,,
481, appear,846,,,,
481, double,846,,,,
481, material,846,,,,
480, excellent,847,,,,
480, teams,847,,,,
479, e.g,848,,,,
478, approach,849,,,,
478, contains,849,,,,
478, natural,849,,,,
478, shows,849,,,,
478, supply,849,,,,
477, printer,850,,,,
476, east,851,,,,
476, giving,851,,,,
476, heart,851,,,,
475, floppy,852,,,,
475, former,852,,,,
475, friends,852,,,,
475, shipping,852,,,,
474, authority,853,,,,
473, dan,854,,,,
473, ma,854,,,,
473, requires,854,,,,
472, practice,855,,,,
472, tim,855,,,,
471, beyond,856,,,,
471, keith,856,,,,
471, necessarily,856,,,,
471, products,856,,,,
471, views,856,,,,
471, widget,856,,,,
470, ability,857,,,,
470, earlier,857,,,,
470, gone,857,,,,
470, published,857,,,,
470, yeah,857,,,,
469, abortion,858,,,,
469, countries,858,,,,
469, equipment,858,,,,
468, effective,859,,,,
468, provided,859,,,,
467, chicago,860,,,,
467, gm,860,,,,
467, majority,860,,,,
467, secure,860,,,,
466, lower,861,,,,
466, unit,861,,,,
464, respect,862,,,,
464, social,862,,,,
463, independent,863,,,,
463, posts,863,,,,
462, basically,864,,,,
461, comment,865,,,,
461, conference,865,,,,
461, constitution,865,,,,
460, beliefs,866,,,,
460, regarding,866,,,,
460, tel,866,,,,
460, turned,866,,,,
460, understanding,866,,,,
459, archive,867,,,,
459, tools,867,,,,
459, treatment,867,,,,
458, prevent,868,,,,
458, trust,868,,,,
457, bear,869,,,,
457, college,869,,,,
